[framework][17:01:07,113-org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(AbstractTestContextBootstrapper.java:248)][INFO]:Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
  [framework][17:01:07,127-org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(AbstractTestContextBootstrapper.java:177)][INFO]:Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@544fe44c, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@31610302, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71318ec4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@21213b92, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@a67c67e] 
  [framework][17:01:49,720-org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(AbstractTestContextBootstrapper.java:248)][INFO]:Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
  [framework][17:01:49,736-org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(AbstractTestContextBootstrapper.java:177)][INFO]:Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@544fe44c, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@31610302, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71318ec4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@21213b92, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@a67c67e] 
  [framework][17:01:51,902-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,059-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,190-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,315-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,436-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,551-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,663-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,771-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,888-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:52,997-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,111-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,228-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,341-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,455-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,581-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
  [framework][17:01:53,700-cn.johnyu.springbootdemo01.dao.SingerDaoImpl.addSingers(SingerDaoImpl.java:38)][INFO]:singers size is :80 
